id,title,release_date,developer,publisher,genres,multiplayer_or_singleplayer,price,percent_positive,win_support,mac_support,lin_support
13479,Lost in the Ocean VR,24-02-2017,Tunnel Vision Studio,Tunnel Vision Studio,Action;Adventure;Indie;Simulation,Single-player,349,46%,1,0,0
13480,Expert Rifleman - Reloaded,14-08-2015,BattleByte,BattleByte,Simulation,Single-player;Steam Trading Cards;Steam Workshop,459,55%,1,1,0
13481,In Vitra - JRPG Adventure,24-03-2017,bumblebee,rokapublish,Adventure;RPG,Single-player;Steam Trading Cards;Partial Controller Support,199,47%,1,0,0
13482,A Stroke of Fate: Operation Bunker,24-08-2015,Spline Games,Akella,Adventure,Single-player,319,53%,1,0,0
13483,Cybarian: The Time Travelling Warrior,09-11-2018,Ritual Games,GrabTheGames,Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support,150,68%,1,0,0
13484,3D Arcade Fishing,20-12-2016,bumblebee,rokapublish,Casual;Simulation;Sports,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,199,49%,1,1,1
13485,Canyon Capers,25-04-2014,Crazy Moo Games,KISS ltd,Action;Casual;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,319,68%,1,0,0
13486,Smoots World Cup Tennis,01-06-2016,Kaneda Games,Plug In Digital,Casual;Indie;Sports,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,479,65%,1,1,0
13487,Ruckus Ridge VR Party,05-04-2016,Foreignvr,Foreignvr,Action;Indie,Multi-player;Co-op;Shared/Split Screen;Full controller support;VR Support,369,60%,1,0,0
13488,Simple Racing,13-08-2018,Simple Racing,Simple Racing,Casual;Indie;Massively Multiplayer;Racing,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Stats,199,57%,1,1,1
13489,Ancient Go,30-05-2017,Hart Laboratories LLC,Hart Laboratories LLC,Casual;Indie;Strategy,Single-player;Online Multi-Player;Steam Achievements;Partial Controller Support,199,57%,1,0,0
13490,The Little Crane That Could,27-04-2015,Game Studio Abraham Stolk Inc.,Game Studio Abraham Stolk Inc.,Indie;Simulation,Single-player;Steam Achievements;Full controller support;Stats,409,60%,1,1,1
13491,Rush Bros.,24-05-2013,XYLA Entertainment,Digital Tribe,Action;Indie;Racing,Single-player;Multi-player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,349,66%,1,1,0
13492,Super Poop,06-02-2018,AL-GAME,AL-GAME,Action;Adventure;Indie,Single-player,165,47%,1,0,0
13493,Overruled!,15-09-2015,Dlala Studios,Team17 Digital Ltd,Action;Indie,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,439,69%,1,1,1
13494,Cricket Captain 2014,08-08-2014,Childish Things,KISS ltd,Sports,Single-player;Multi-player;Co-op,369,59%,1,0,0
13495,The Clockwork Man: The Hidden World,23-09-2011,Total Eclipse P.C.,Total Eclipse P.C.,Adventure;Casual;Indie,Single-player,369,46%,1,1,1
13496,Deluded Mind,15-06-2018,Sky Haubrich,Pyxton Studios,Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Cloud,259,61%,1,0,0
13497,D.N.Age,29-07-2016,REMIMORY,REMIMORY,Casual;Indie;RPG;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,259,63%,1,0,0
13498,Geography Quiz,13-03-2018,Chamomile Software,Chamomile Software,Casual,Single-player,349,61%,1,0,0
13499,Secret in Story,19-06-2017,Luo Zhi En,Luo Zhi En,Adventure;Indie,Single-player;Steam Achievements;Steam Trading Cards,58,51%,1,1,0
13500,The Withering,18-12-2015,CM Softworks,CM Softworks,Action;Adventure;Indie;RPG;Simulation;Strategy;Early Access,Single-player,349,67%,1,0,0
13501,Cornerstone: The Song of Tyrim,26-04-2016,Overflow,Phoenix Online Publishing,Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,565,64%,1,1,1
13502,Fabula Mortis,27-10-2014,Deadghost Interactive,Deadghost Interactive,Action;Indie,Multi-player;Steam Trading Cards,299,60%,1,0,0
13503,From Village to Empire,25-05-2018,Witch Laboratory,Witch Laboratory,Indie;Strategy;Early Access,Single-player;Multi-player;Cross-Platform Multiplayer,299,64%,1,0,1
13504,Escape The Past,14-09-2016,3DDUO,Fun4Family;Plug In Digital,Adventure;Casual,Single-player;Steam Achievements;Steam Trading Cards,259,67%,1,1,0
13505,Nostradamus - The Four Horsemen of the Apocalypse,12-02-2018,Just Funny Games,Microïds Indie,Adventure,Single-player,299,67%,1,0,0
13506,Wasteland Angel,01-09-2011,Octane Games;Meridian4,Meridian4,Action;Indie,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,199,57%,1,0,0
13507,Lost Shipwreck,29-09-2017,Blueplant Entertainment,Blueplant Entertainment,Adventure;Indie;Simulation;Early Access,Single-player;Steam Achievements;Steam Workshop;Steam Cloud,479,66%,1,0,0
13508,The Cold War Era,09-09-2016,Alina Digital,Alina Digital,Indie;Simulation;Strategy,Single-player;Steam Achievements,259,67%,1,0,0
13509,Rabbit Hole 3D: Steam Edition,25-04-2014,Somi,Zero Rock Entertainment,Action;Casual;Indie,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,125,59%,1,1,1
13510,Burnout Drift,28-03-2019,BoneCracker Games,BoneCracker Games;Bugra Özdoganlar,Indie;Racing;Simulation;Sports,Single-player;Steam Achievements,125,50%,1,0,0
13511,Drummer Talent VR,05-05-2017,Tungsten Games,Tungsten Games,Casual;Indie;Simulation;Early Access,Single-player,565,48%,1,0,0
13512,Color by Number - Pixel Draw,22-08-2018,Pixel Draw,Pixel Draw,Adventure;Casual;Indie;Strategy,Single-player,85,68%,1,0,0
13513,Front Wars,17-08-2015,Homemade Games,Homemade Games,Indie;Strategy,Single-player;Multi-player;Partial Controller Support;Steam Leaderboards,259,55%,1,1,0
13514,The Council of Hanwell,14-03-2018,Steel Arts,Steel Arts,Action;Adventure;Indie,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,199,44%,1,0,0
13515,Zombie Playground™,31-10-2016,stealth.gg,stealth.gg,Violent;Gore;Action;Adventure;Indie;RPG,Single-player;Online Multi-Player;Online Co-op;Full controller support,369,63%,1,1,0
13516,Creepy Road,18-05-2018,Groovy Milk,Groovy Milk;GrabTheGames,Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support,349,45%,1,1,0
13517,ManaCollect,17-04-2015,Tazigen Clock,Fruitbat Factory,Action;Adventure,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,259,53%,1,0,0
13518,Never Stop Sneakin',25-02-2018,Humble Hearts LLC,Humble Hearts LLC,Action;Indie,Single-player;Steam Achievements;Full controller support;Steam Cloud,399,53%,1,1,0
13519,Planets Under Attack,27-09-2012,Targem Games,Topware Interactive,Indie;Strategy,Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,369,51%,1,1,0
13520,High Noon VR,14-11-2017,OctoBox Interactive,Buka Entertainment,Action;Adventure;Simulation,Single-player;Steam Achievements,349,43%,1,0,0
13521,RideOp - VR Thrill Ride Experience,29-11-2018,GuraShop,GuraShop,Casual;Simulation,Single-player,Free to play,50%,1,0,0
13522,King Of Dirt,28-02-2017,WildLabs,WildLabs,Indie;Racing;Simulation;Sports,Single-player;Steam Achievements;Steam Leaderboards,259,49%,1,0,0
13523,The Mims Beginning,18-05-2016,Squatting Penguins,Squatting Penguins,Indie;Simulation;Strategy,Single-player;Steam Achievements;Captions available,489,59%,1,1,1
13524,Nexuiz,10-05-2012,IllFonic,IllFonic;Psyop Games,Action,Single-player;Multi-player;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,369,44%,1,0,0
13525,TinyKeep,29-09-2014,Phigames,Digital Tribe,Action;Adventure;Indie;RPG,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,349,68%,1,1,1
13526,Shalnor Legends: Sacred Lands,25-01-2018,Johnny Ostad,Johnny Ostad,Action;Adventure;Indie;RPG,Single-player;Steam Achievements;Full controller support;Steam Cloud,349,55%,1,0,0
13527,Meadowland,22-10-2014,Mårten Jonsson,AGM PLAYISM,Indie;Simulation,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,229,60%,1,0,0
13528,Where Angels Cry,27-02-2014,Cateia Games,Libredia Entertainment,Casual,Single-player;Steam Cloud,165,57%,1,0,0
13529,Gumboy - Crazy Adventures™,19-12-2006,"CINEMAX, s.r.o.","CINEMAX, s.r.o.",Casual;Indie,Single-player,259,50%,1,0,0
13530,Renzo Racer,30-05-2017,EnsenaSoft,EnsenaSoft,Action;Racing;Early Access,Single-player;Full controller support;Steam Trading Cards,259,40%,1,0,0
13531,Jane Angel: Templar Mystery,17-09-2014,iMaxGen,1C Entertainment;Shaman Games Studio,Casual,Single-player,259,68%,1,0,0
13532,Salammbô: Battle for Carthage,30-05-2014,Cryo Interactive,Microids,Adventure,Single-player,259,67%,1,0,0
13533,Train Simulator: London Subway,04-07-2018,Fury Games Production,Fury Games Production,Casual;Indie;Simulation,Single-player,85,54%,1,0,0
13534,Ghostdream,24-10-2016,ArkHouse,Forever Entertainment S. A.,Adventure;Casual;Indie,Single-player;Steam Trading Cards;Steam Cloud,219,51%,1,0,0
13535,Battle Simulator,27-09-2018,KicklessGame,RewindApp,Action;Casual;Indie;Simulation;Strategy,Single-player,42,49%,1,0,0
13536,Skully Pinball,16-04-2019,RewindApp,RewindApp,Action;Casual;Indie;Simulation;Early Access,Single-player,42,48%,1,0,0
13537,Ride! Carnival Tycoon,29-07-2008,Gabriel Entertainment,ValuSoft;Retroism,Simulation,Single-player,Free to play,63%,1,0,0
13538,Ceres,16-10-2015,Jötunn Games,Iceberg Interactive,Action;Indie;RPG;Simulation;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,529,67%,1,1,1
13539,Everyday Baseball VR,12-09-2018,WISECAT,WISECAT,RPG;Simulation;Sports,Single-player;Steam Cloud;Stats,459,48%,1,0,0
13540,HYPERGUN,23-08-2018,NVYVE® Studios,NVYVE® Studios,Action;Indie,Single-player;Steam Achievements;Full controller support;Steam Cloud,349,46%,1,0,0
13541,Marcus Level,20-01-2016,3DDUO,Fun4Family;Plug In Digital,Action;Adventure;Casual,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,309,53%,1,1,0
13542,SOS Survival,31-10-2018,StudioFriends,StudioFriends,Action;Indie;RPG,Single-player;Multi-player;Online Multi-Player;Steam Trading Cards,349,58%,1,0,0
13543,Marine Sharpshooter II: Jungle Warfare,03-04-2014,Jarhead Games,Funbox Media Ltd,Action,Single-player,125,47%,1,0,0
13544,7 Grand Steps: What Ancients Begat,07-06-2013,Mousechief,Mousechief,Casual;Indie;Simulation;Strategy,Single-player;Steam Trading Cards,565,63%,1,1,0
13545,Arson and Plunder: Unleashed,25-09-2015,Chainsaw Syndicate,Headup Games,Action;Indie,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,199,43%,1,0,0
13546,Death Stair,16-08-2016,Fun Sponge Games,Missing Link Games,Action;Casual;Indie;Racing;Sports,Multi-player;Local Multi-Player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support,165,42%,1,0,0
13547,Poltergeist: A Pixelated Horror,20-10-2014,Glitchy Pixel,Glitchy Pixel,Casual;Indie,Single-player;Steam Achievements,480,63%,1,1,1
13548,Vixens From Outer Space,06-01-2019,Domus ludus,Domus ludus,Action;Indie;Early Access,Single-player;Steam Achievements,399,64%,1,0,0
13549,Spot Girls Difference,25-01-2019,Puzzle Game,Puzzle Game,Adventure;Casual;Indie;RPG;Simulation,Single-player;Steam Cloud,42,40%,1,0,0
13550,HELLMUT: The Badass from Hell,27-02-2018,Volcanicc,Grindstone,Action;Indie,Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,349,66%,1,0,0
13551,Pro Basketball Manager 2016,14-01-2016,Cyanide Studio;Umix Studios,Bigben Interactive,Simulation;Sports,Single-player,479,68%,1,0,0
13552,Mahjong Solitaire,11-05-2018,Albireo Games,Albireo Games,Casual;Indie,Single-player;Steam Achievements,105,60%,1,0,0
13553,30 Seconds To Jail,04-05-2018,Egor Magurin,Indovers Studio,Casual;Indie,Single-player;Steam Achievements,125,60%,1,1,0
13554,Grave Keeper,29-03-2019,Baldur Games,Ultimate Games S.A.;Gaming Factory S.A.,Action;Adventure;Casual;Indie;RPG,Single-player;Steam Achievements;Partial Controller Support,349,40%,1,0,0
13555,Ways of History,01-09-2017,Glyph Worlds,Glyph Worlds,Free to Play;Indie;Massively Multiplayer;Strategy,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;In-App Purchases;Steam Cloud,Free to play,49%,1,0,0
13556,Blue Horizon,18-08-2017,Blue Horizon Studios Ltd,Blue Horizon Studios Ltd,Action;Adventure;Indie;RPG,Single-player;Steam Achievements;Partial Controller Support,125,42%,1,0,0
13557,Equalizer,11-08-2017,Sergey Shushunov,Sergey Shushunov,Action;Adventure;Casual;Indie;Sports,Single-player;Steam Achievements,499,66%,1,0,0
13558,Spuds Unearthed,10-01-2019,Gamedust Sp. z o.o.,Gamedust Sp. z o.o.,Action;Indie;Strategy;Early Access,Single-player;Cross-Platform Multiplayer,399,57%,1,0,0
13559,Social Justice Warriors,27-02-2015,Nonadecimal Creative,Nonadecimal Creative,Casual;Indie;RPG;Simulation,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Stats;Steam Leaderboards,299,51%,1,1,1
13560,Guild Commander,23-01-2015,GTGD,GTGD,Indie;Simulation;Strategy,Single-player;Steam Achievements,459,65%,1,0,0
13561,Survival Simulator VR,19-09-2018,Lucid Pixel,Lucid Pixel,Indie;Early Access,Single-player,459,57%,1,0,0
13562,Individual Investor Tycoon,21-02-2018,CHENJINDING,CHENJINDING,Casual;Indie;Simulation,Single-player,199,68%,1,1,0
13563,BOMB: Who let the dogfight?,29-07-2015,La Moustache Studio,La Moustache Studio,Action;Adventure;Indie;Simulation,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support;Steam Cloud;Includes level editor,349,68%,1,1,1
13564,Darts and Friends,09-04-2018,Casual.US,Casual.US,Casual;Indie;Simulation;Sports;Early Access,Single-player;Shared/Split Screen;Steam Achievements;Steam Leaderboards,199,65%,1,1,1
13565,Catyph: The Kunci Experiment,11-05-2016,Simon Says: Play!,Simon Says: Play!,Adventure;Indie,Single-player,349,45%,1,0,0
13566,Adventurer Manager,04-12-2014,Vigilant Addiction Studios,"BBEW BBEW, LLC",Casual;Indie;RPG,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,259,66%,1,1,0
13567,Bayou Island - Point and Click Adventure,28-02-2017,Andy Howard Games,Andy Howard Games,Adventure;Casual;Indie,Single-player;Captions available,119,43%,1,0,0
13568,Harvest Simulator VR,25-11-2017,Sakis25 Games,Bolt Virtual,Simulation,Single-player,199,54%,1,0,0
13569,The Naked Game,15-12-2017,SiCzech Arts,SiCzech Arts,Adventure;Indie,Single-player,459,56%,1,0,0
13570,Dwelvers,11-09-2014,Rasmus Ljunggren,Dancing Devils,Indie;Simulation;Strategy;Early Access,Single-player,459,68%,1,0,0
13571,Summer Fling,16-06-2016,Straywire,Dharker Studio,Casual;Indie,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,610,59%,1,0,0
13572,Vector Strain,09-12-2015,OMNIDREAM CREATIONS,OMNIDREAM CREATIONS,Action;Indie,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards,259,56%,1,0,0
13573,National Machine,29-06-2018,Eric Sun,Eric Sun,Indie;Simulation;Strategy;Early Access,Single-player,459,64%,1,0,0
13574,Tanks2.DE,22-03-2019,Hannes Trebbin,Hannes Trebbin,Action;Free to Play;Massively Multiplayer;Strategy;Early Access,Multi-player;Online Multi-Player;MMO;Steam Achievements;In-App Purchases,Free to play,41%,1,0,1
13575,Lume,09-05-2011,State of Play Games,State of Play Games,Adventure;Casual;Indie,Single-player,299,57%,1,1,0
13576,BuriedTown,22-01-2016,Dice7,Locojoy,Action;Adventure;Indie;RPG;Strategy,Single-player;Steam Achievements,319,55%,1,0,0
13577,Adventures On The Polluted Islands,17-02-2017,Uncle Frost Team,Sometimes You,Adventure;Casual;Indie,Single-player;Steam Trading Cards,125,51%,1,0,0
13578,3 Coins At School,20-04-2016,89AM Studio,89AM Studio,Casual;Indie;Simulation;Sports;Strategy,Single-player;Multi-player;Steam Trading Cards,259,46%,1,0,0
13579,Robin's Island Adventure,17-09-2014,Shaman Games Studio,1C Entertainment;Shaman Games Studio,Casual,Single-player,259,61%,1,0,0
13580,Lunar Stone - Origin of Blood,18-11-2016,Zenox Studio,"GQJoy Co.,Ltd",Action;Adventure,Single-player;Steam Achievements;Steam Trading Cards;Captions available,199,60%,1,0,0
13581,VR Flight Simulator New York - Cessna,05-01-2019,Thetis Games,Thetis Games,Simulation,Single-player,529,58%,1,0,0
13582,After All,20-04-2015,JAMgames,JAMgames,Indie;RPG,Single-player,125,55%,1,0,0
13583,Nogibator: Way Of Legs,14-02-2018,TheDreik;Xitilon,Xitilon,Casual;Indie,Single-player;Steam Achievements,125,62%,1,0,0
13584,Twilight City: Love as a Cure,18-12-2015,Meridian'93,1C Entertainment,Adventure;Casual,Single-player,319,63%,1,0,0
13585,The Watchmaker,17-05-2018,Micropsia Games,1C Entertainment,Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Cloud,349,67%,1,0,0
13586,Don't Chat With Strangers,06-01-2017,Bartosz Bojarowski,Bartosz Bojarowski,Indie,Single-player;Steam Achievements;Steam Trading Cards,259,60%,1,0,0
13587,Zombie Killing Simulator,11-02-2019,Meka Games,Meka Games,Action;Casual;Indie;Simulation;Strategy;Early Access,Single-player;Steam Achievements;Includes level editor,199,40%,1,0,0
13588,SoulCraft,01-06-2015,MobileBits,Headup Games,Action;Casual;Indie;RPG,Single-player;Steam Achievements;Full controller support,259,49%,1,0,0
13589,RAZED,14-09-2018,Warpfish Games,PQube Limited,Action;Racing,Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,399,64%,1,1,1
13590,Nuts!: The Battle of the Bulge,12-02-2016,HexWar Games,HexWar Games,Strategy,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,369,57%,1,1,0
13591,The Few,18-06-2014,BlackMoon Design,BlackMoon Design ,Strategy,Single-player;Steam Achievements;Steam Trading Cards,299,60%,1,1,0
13592,Armada 2526,08-04-2011,Ntronium Games,Iceberg Interactive,Strategy,Single-player;Shared/Split Screen,459,66%,1,0,0
13593,Dinocide,21-01-2016,AtomicTorch Studio,AtomicTorch Studio,Action;Adventure;Casual;Indie;RPG,Single-player;Full controller support;Steam Trading Cards;Steam Cloud,349,65%,1,1,1
13594,Real Drift,31-08-2018,FRAdrift;RewindApp,RewindApp,Casual;Indie;Racing;Simulation,Single-player;Partial Controller Support,85,57%,1,0,0
13595,BitMaster,12-10-2016,Vladimir Shlapak,Sometimes You,Action;Indie,Single-player;Full controller support;Steam Trading Cards,125,57%,1,1,1
13596,Outback Survival,19-09-2018,Wafflesoft,Wafflesoft,Action;Indie;Early Access,Single-player,199,52%,1,0,0
13597,Majestic Nights,30-10-2014,Epiphany Games,Epiphany Games,Action;Adventure;Indie;RPG,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,259,64%,1,1,1
13598,X-COM: Enforcer,04-09-2008,"MicroProse Software, Inc",2K,Strategy,Single-player;Multi-player,249,44%,1,0,0
13599,No Pineapple Left Behind,18-02-2016,Subaltern Games,Subaltern Games,Indie;Simulation;Strategy,Single-player;Steam Achievements,259,68%,1,1,1
13600,Viking Rage,28-04-2017,N-Gon Entertainment,Headup Games,Action;Casual;Indie,Single-player;Steam Achievements;Steam Trading Cards;Stats;Steam Leaderboards,359,61%,1,0,0
13601,Dream Chamber,31-07-2015,Forge Reply,Microids Indie,Adventure,Single-player,369,65%,1,1,0
13602,The Momo Game,16-10-2018,Caffeine,Cheesecake,Indie,Single-player;Steam Achievements,85,67%,1,0,0
13603,The Battle of Sol,01-07-2015,"Bit Planet Games, LLC","Bit Planet Games, LLC",Action;Indie;Simulation,Single-player;Steam Achievements;Full controller support;Steam Workshop;Stats;Includes level editor,369,42%,1,0,0
13604,King Lucas,01-12-2016,DevilishGames,DevilishGames,Action;Adventure;Indie,Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,259,60%,1,1,1
13605,Burokku Girls,17-02-2016,Silver Cow Studio,Silver Cow Studio,Adventure;Indie;Simulation,Single-player;Steam Trading Cards,359,47%,1,1,1
13606,Adventures of Robinson Crusoe,09-01-2015,MagicIndie,MumboJumbo,Adventure;Casual,Single-player,369,61%,1,0,0
13607,Truth: Disorder,05-12-2017,JustE AAN,JustE Publishing,Indie,Single-player;Steam Achievements,85,64%,1,1,1
13608,Stay Alive: Apocalypse,15-01-2018,Mehan Games,Mehan Games,Indie;RPG;Simulation;Early Access,Single-player;Steam Achievements;Steam Trading Cards,880,59%,1,0,0
13609,Dying Light: Bad Blood,13-09-2018,Techland,Techland Publishing,Action;RPG;Early Access,Multi-player;Online Multi-Player;Full controller support;In-App Purchases,Free to play,48%,1,0,0
13610,Dead Link: Pages Torn,28-11-2017,phime studio LLC,phime studio LLC,Adventure;Casual;Indie,Single-player;Steam Achievements,125,69%,1,1,1
13611,Mass Destruction,24-08-2015,NMS Software,Console Classics,Action,Single-player;Partial Controller Support,Free to play,55%,1,0,0
13612,Anime Studio Simulator,02-11-2016,Visualnoveler,Visualnoveler,Indie;Simulation,Single-player;Steam Achievements;Steam Trading Cards,349,56%,1,1,1
13613,Trivia Quiz: All about everything!,03-08-2018,DuCats Games Studio,DuCats Games Studio,Casual;Indie,Single-player;Steam Achievements;Steam Leaderboards,125,66%,1,0,0
13614,Zombie Grinder,16-10-2015,TwinDrills,TwinDrills,Action;Adventure;Indie;RPG;Early Access,Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,329,67%,1,1,1
13615,Roulette Simulator 2,31-12-2018,JDRumble,JDRumble,Casual;Indie;Simulation;Strategy,Single-player;Steam Achievements;Steam Leaderboards,42,57%,1,0,0
13616,A.I.M. Racing,22-01-2010,SkyRiver Studios,1C Entertainment,Action;Racing,Single-player;Partial Controller Support;Steam Cloud,169,47%,1,0,0
13617,Passengers: Awakening VR Experience,14-03-2017,MPC VR,Sony Pictures Virtual Reality,Adventure;Casual;Strategy,Single-player,299,54%,1,0,0
13618,Ampu-Tea,30-05-2014,ProjectorGames,KISS ltd,Adventure;Casual;Indie;RPG;Simulation,Single-player;Steam Achievements;Steam Trading Cards;Stats,259,52%,1,0,0
13619,Resilience Wave Survival,23-12-2015,Jimbob Games,Jimbob Games,Action;Adventure;Casual;Indie,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,199,53%,1,0,0
13620,Scary Girl,09-04-2012,TikGames,Square Enix,Action,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Leaderboards,300,53%,1,0,0
13621,Eternal Step,16-10-2015,Once More With Gusto,Green Man Gaming Publishing,Action;Adventure;Indie;RPG,Single-player;Full controller support;Steam Trading Cards;Steam Cloud,349,65%,1,1,1
13622,Clicker: Mining Simulator,18-01-2018,Zloy Krot Studio,Zloy Krot Studio,Casual;Indie;Simulation,Single-player;Steam Achievements,85,54%,1,0,0
13623,Mahluk:Dark Demon,19-07-2016,Serkan Bakar,Serkan Bakar,Action;Adventure;Indie;RPG,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards,165,43%,1,0,0
13624,Cricket Revolution,28-10-2009,Mindstorm Studios,Mindstorm Studios,Indie;Simulation;Sports,Single-player;Multi-player,Free to play,63%,1,0,0
13625,Arakion: Book One,15-05-2018,Arakion LLC;Lavidimus,Arakion LLC,Adventure;RPG;Early Access,Single-player;Steam Achievements,529,56%,1,1,1
13626,Axis Football 2018,14-09-2018,Axis Games,Axis Games,Simulation;Sports,Single-player;Local Multi-Player;Steam Achievements;Full controller support,349,50%,1,0,1
13627,The Waste Land,16-09-2014,Fledermaus,Digital Tribe,Action;Adventure;Indie,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,349,60%,1,0,0
13628,Outrage,06-04-2016,Astronomic Games,New Reality Games,Adventure;Indie;RPG,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,229,55%,1,0,0
13629,Vanilla Bagel: The Roguelike,15-06-2016,Sergey Bobrov,Sergey Bobrov,Adventure;Indie;RPG,Single-player;Steam Trading Cards,419,65%,1,0,0
13630,Mosby's Confederacy,19-11-2008,"Tilted Mill Entertainment, Inc.","Tilted Mill Entertainment, Inc.",Strategy,Single-player;Steam Achievements,Free to play,63%,1,0,0
13631,Shadow Ninja: Apocalypse,16-11-2015,Boogygames Studios,Boogygames Studios,Action;Adventure;Casual;Indie;Strategy,Single-player;Steam Trading Cards;Partial Controller Support;Stats;Steam Leaderboards,119,68%,1,1,0
13632,Way of Gold and Steel,17-08-2015,Sergey Bobrov,Sergey Bobrov,Indie;Strategy,Single-player;Steam Trading Cards,329,45%,1,0,0
13633,Heileen 1: Sail Away,06-06-2014,Winter Wolves,Winter Wolves,Adventure;Casual;Indie,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,299,64%,1,1,1
13634,Tyd wag vir Niemand (Time waits for Nobody),07-07-2017,Skobbejak Games,Skobbejak Games,Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,369,62%,1,1,1
13635,Geometry Defense: Infinite,05-07-2018,Zebec Games,Zebec Games,Indie;Strategy;Early Access,Single-player;Steam Achievements;Steam Leaderboards,199,66%,1,1,1
13636,Foreign Legion: Multi Massacre,09-07-2012,Sakari Indie & GriN,Sakari Games,Action;Indie;Casual,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud,199,63%,1,1,0
13637,Nyctophobia,25-08-2015,Lightning Man Media,Lightning Man Media ,Adventure;Indie,Single-player;Steam Achievements;Steam Trading Cards,119,61%,1,1,0
13638,Daemonical,15-08-2018,Fearem,Gamifier,Action;Indie;Early Access,Multi-player;Online Multi-Player;Co-op;Online Co-op,459,69%,1,0,0
13639,Blaster Shooter GunGuy!,10-08-2015,Adam DeLease,Adam DeLease,Action;Adventure;Indie,Single-player;Steam Trading Cards;Partial Controller Support,119,64%,1,0,0
13640,Dogfight Elite,11-06-2016,Echoboom S.L.,Echoboom S.L.,Action;Indie;Massively Multiplayer;Simulation;Strategy;Early Access,Single-player;Multi-player;Cross-Platform Multiplayer;In-App Purchases;Partial Controller Support,Free to play,69%,1,1,0
13641,Matanga,07-03-2019,Volokitin Andrey, Volokitin Andrey,Action;Adventure;Indie,Single-player;Steam Achievements,349,66%,1,0,0
13642,Hex Defense,15-02-2019,Sachonski,Patagoniart,Action;Casual;Simulation;Strategy,Single-player;Steam Achievements;Stats;Steam Leaderboards,299,69%,1,0,0
